SEASON,YEAR,WEEK,CURRENT WEEK DEATHS, PREVIOUS WEEKS DEATHS ,WEEK NUMBER,YEAR TOTAL DEATHS
2015-16,2015,40,0,0,2015-40,93
2015-16,2015,41,0,0,2015-41,93
2015-16,2015,42,0,0,2015-42,93
2015-16,2015,43,0,0,2015-43,93
2015-16,2015,44,0,2,2015-44,93
2015-16,2015,45,0,0,2015-45,93
2015-16,2015,46,0,0,2015-46,93
2015-16,2015,47,0,0,2015-47,93
2015-16,2015,48,0,2,2015-48,93
2015-16,2015,49,0,1,2015-49,93
2015-16,2015,50,0,1,2015-50,93
2015-16,2015,51,0,1,2015-51,93
2015-16,2015,52,0,1,2015-52,93
2015-16,2016,1,0,0,2016-01,110
2015-16,2016,2,0,2,2016-02,110
2015-16,2016,3,0,0,2016-03,110
2015-16,2016,4,0,3,2016-04,110
2015-16,2016,5,0,1,2016-05,110
2015-16,2016,6,0,2,2016-06,110
2015-16,2016,7,0,5,2016-07,110
2015-16,2016,8,0,7,2016-08,110
2015-16,2016,9,0,6,2016-09,110
2015-16,2016,10,0,4,2016-10,110
2015-16,2016,11,0,9,2016-11,110
2015-16,2016,12,0,8,2016-12,110
2015-16,2016,13,0,11,2016-13,110
2015-16,2016,14,0,9,2016-14,110
2015-16,2016,15,0,4,2016-15,110
2015-16,2016,16,0,1,2016-16,110
2015-16,2016,17,0,2,2016-17,110
2015-16,2016,18,0,1,2016-18,110
2015-16,2016,19,0,3,2016-19,110
2015-16,2016,20,0,0,2016-20,110
2015-16,2016,21,0,2,2016-21,110
2015-16,2016,22,0,1,2016-22,110
2015-16,2016,23,0,1,2016-23,110
2015-16,2016,24,0,0,2016-24,110
2015-16,2016,25,0,1,2016-25,110
2015-16,2016,26,0,0,2016-26,110
2015-16,2016,27,0,1,2016-27,110
2015-16,2016,28,0,1,2016-28,110
2015-16,2016,29,0,0,2016-29,110
2015-16,2016,30,0,0,2016-30,110
2015-16,2016,31,0,0,2016-31,110
2015-16,2016,32,0,0,2016-32,110
2015-16,2016,33,0,0,2016-33,110
2015-16,2016,34,0,0,2016-34,110
2015-16,2016,35,0,0,2016-35,110
2015-16,2016,36,0,0,2016-36,110
2015-16,2016,37,0,0,2016-37,110
2015-16,2016,38,0,0,2016-38,110
2015-16,2016,39,0,0,2016-39,110
2016-17,2016,40,0,0,2016-40,110
