AREA,SUB AREA,AGE GROUP,YEAR,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA AND PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Washington,All,2015,2015-16,40,6.1,61,"1,000",> 100%
State,Washington,All,2015,2015-16,41,7.3,70,961,> 100%
State,Washington,All,2015,2015-16,42,6.8,70,"1,024",> 100%
State,Washington,All,2015,2015-16,43,6.6,69,"1,048",> 100%
State,Washington,All,2015,2015-16,44,7.7,78,"1,016",> 100%
State,Washington,All,2015,2015-16,45,7.2,76,"1,056",> 100%
State,Washington,All,2015,2015-16,46,5.8,59,"1,020",> 100%
State,Washington,All,2015,2015-16,47,4.9,52,"1,066",> 100%
State,Washington,All,2015,2015-16,48,7.8,87,"1,110",> 100%
State,Washington,All,2015,2015-16,49,6.5,74,"1,134",> 100%
State,Washington,All,2015,2015-16,50,6.4,68,"1,061",> 100%
State,Washington,All,2015,2015-16,51,7.9,86,"1,084",> 100%
State,Washington,All,2015,2015-16,52,7.4,80,"1,081",> 100%
State,Washington,All,2016,2015-16,1,7.2,82,"1,144",> 100%
State,Washington,All,2016,2015-16,2,6.8,75,"1,100",> 100%
State,Washington,All,2016,2015-16,3,6.4,74,"1,156",> 100%
State,Washington,All,2016,2015-16,4,7.1,78,"1,099",> 100%
State,Washington,All,2016,2015-16,5,5.5,60,"1,093",> 100%
State,Washington,All,2016,2015-16,6,6.7,73,"1,088",> 100%
State,Washington,All,2016,2015-16,7,6.1,69,"1,127",> 100%
State,Washington,All,2016,2015-16,8,8.8,101,"1,147",> 100%
State,Washington,All,2016,2015-16,9,7.7,84,"1,096",> 100%
State,Washington,All,2016,2015-16,10,8.3,93,"1,126",> 100%
State,Washington,All,2016,2015-16,11,6.4,71,"1,117",> 100%
State,Washington,All,2016,2015-16,12,8.6,96,"1,118",> 100%
State,Washington,All,2016,2015-16,13,8.6,94,"1,090",> 100%
State,Washington,All,2016,2015-16,14,9.2,97,"1,049",> 100%
State,Washington,All,2016,2015-16,15,9.9,105,"1,065",> 100%
State,Washington,All,2016,2015-16,16,8.5,92,"1,083",> 100%
State,Washington,All,2016,2015-16,17,7.8,78,996,> 100%
State,Washington,All,2016,2015-16,18,6.8,74,"1,090",> 100%
State,Washington,All,2016,2015-16,19,6.1,62,"1,024",> 100%
State,Washington,All,2016,2015-16,20,6.2,65,"1,050",> 100%
State,Washington,All,2016,2015-16,21,6.8,68,994,> 100%
State,Washington,All,2016,2015-16,22,6.5,67,"1,031",> 100%
State,Washington,All,2016,2015-16,23,6.4,63,990,> 100%
State,Washington,All,2016,2015-16,24,4.8,47,972,> 100%
State,Washington,All,2016,2015-16,25,6.6,65,980,> 100%
State,Washington,All,2016,2015-16,26,5.9,60,"1,012",> 100%
State,Washington,All,2016,2015-16,27,5.3,52,986,> 100%
State,Washington,All,2016,2015-16,28,6.1,59,960,> 100%
State,Washington,All,2016,2015-16,29,5.3,52,972,> 100%
State,Washington,All,2016,2015-16,30,6.1,65,"1,066",> 100%
State,Washington,All,2016,2015-16,31,5.5,52,944,> 100%
State,Washington,All,2016,2015-16,32,6.2,59,952,> 100%
State,Washington,All,2016,2015-16,33,6,59,977,> 100%
State,Washington,All,2016,2015-16,34,6.3,61,965,> 100%
State,Washington,All,2016,2015-16,35,5.2,52,999,> 100%
State,Washington,All,2016,2015-16,36,5.5,54,987,> 100%
State,Washington,All,2016,2015-16,37,5.8,59,"1,013",> 100%
State,Washington,All,2016,2015-16,38,5,50,996,> 100%
State,Washington,All,2016,2015-16,39,4.8,49,"1,017",> 100%
State,Washington,All,2016,2016-17,40,5.8,59,"1,009",> 100%
State,Washington,All,2016,2016-17,41,5.7,60,"1,054",> 100%
State,Washington,All,2016,2016-17,42,5.8,61,"1,059",> 100%
State,Washington,All,2016,2016-17,43,5.4,53,985,> 100%
State,Washington,All,2016,2016-17,44,5.7,59,"1,031",> 100%
State,Washington,All,2016,2016-17,45,5.9,58,984,> 100%
State,Washington,All,2016,2016-17,46,6,64,"1,064",> 100%
State,Washington,All,2016,2016-17,47,6.5,65,"1,001",> 100%
State,Washington,All,2016,2016-17,48,5.6,56,997,> 100%
State,Washington,All,2016,2016-17,49,7.2,79,"1,095",> 100%
State,Washington,All,2016,2016-17,50,7.5,83,"1,108",> 100%
State,Washington,All,2016,2016-17,51,7.1,84,"1,180",> 100%
State,Washington,All,2016,2016-17,52,10.1,122,"1,204",> 100%
State,Washington,All,2017,2016-17,1,9.9,130,"1,311",> 100%
State,Washington,All,2017,2016-17,2,11.4,157,"1,380",> 100%
State,Washington,All,2017,2016-17,3,12,168,"1,400",> 100%
State,Washington,All,2017,2016-17,4,12.4,165,"1,333",> 100%
State,Washington,All,2017,2016-17,5,13.2,164,"1,239",> 100%
State,Washington,All,2017,2016-17,6,10.3,127,"1,231",> 100%
State,Washington,All,2017,2016-17,7,9.9,124,"1,248",> 100%
State,Washington,All,2017,2016-17,8,9,105,"1,173",> 100%
State,Washington,All,2017,2016-17,9,7.7,90,"1,163",> 100%
State,Washington,All,2017,2016-17,10,9,101,"1,125",> 100%
State,Washington,All,2017,2016-17,11,6.9,77,"1,109",> 100%
State,Washington,All,2017,2016-17,12,8.7,100,"1,144",> 100%
